Type I_index Init_J Init_S Init_K Init_mF Init_XI F_index Final_J Final_S Final_K Final_mF Final_XI Rabi_Rate_Real Rabi_Rate_Imag
sigma+ 145 3 1 +0.0 +3.5 1 144 3 1 +0.0 +4.5 1 3.36050503e-06 0.00000000e+00
sigma+ 111 2 -1 +0.0 +2.5 1 110 2 -1 +0.0 +3.5 1 3.35183724e-06 0.00000000e+00
sigma+ 114 2 -1 +0.0 -0.5 1 413 4 -1 +0.0 +0.5 1 3.35108001e-06 0.00000000e+00
sigma+ 39 2 1 +1.0 -0.5 2 331 4 1 +1.0 +0.5 2 3.36507046e-23 -3.33458301e-06
sigma+ 107 2 -1 +1.0 -0.5 2 403 4 -1 +1.0 +0.5 2 -4.78174824e-24 3.33458300e-06
sigma+ 4 1 1 +1.0 -0.5 2 40 2 1 +1.0 +0.5 2 -8.44603681e-24 3.32927967e-06
sigma+ 46 1 -1 +1.0 -0.5 2 108 2 -1 +1.0 +0.5 2 -2.16005834e-24 3.32927966e-06
sigma+ 395 4 -1 +1.0 -0.5 1 102 2 -1 +1.0 +0.5 1 3.86284208e-25 3.32624408e-06
sigma+ 323 4 1 +1.0 -0.5 1 34 2 1 +1.0 +0.5 1 3.32624407e-06 2.36327628e-23
sigma+ 238 4 1 +3.0 -0.5 1 52 3 1 +3.0 +0.5 1 3.32237128e-06 0.00000000e+00
sigma+ 342 4 -1 +3.0 -0.5 1 176 3 -1 +3.0 +0.5 1 3.32237127e-06 0.00000000e+00
sigma+ 3 1 1 +1.0 -1.5 1 39 2 1 +1.0 -0.5 2 3.31729187e-06 -1.26355868e-23
sigma+ 45 1 -1 +1.0 -1.5 1 107 2 -1 +1.0 -0.5 2 8.77077527e-25 -3.31729184e-06
sigma+ 265 4 1 +3.0 +0.5 4 75 3 1 +3.0 +1.5 4 -3.29262388e-06 0.00000000e+00
sigma+ 369 4 -1 +3.0 +0.5 4 199 3 -1 +3.0 +1.5 4 3.29262386e-06 0.00000000e+00
sigma+ 106 2 -1 +1.0 -1.5 2 44 1 -1 +1.0 -0.5 1 -3.28763436e-06 5.45582387e-24
sigma+ 38 2 1 +1.0 -1.5 2 2 1 1 +1.0 -0.5 1 3.28763435e-06 -5.45582384e-24
sigma+ 90 3 1 +2.0 -0.5 1 304 4 1 +2.0 +0.5 1 -2.17660132e-20 3.28593724e-06
sigma+ 222 3 -1 +2.0 -0.5 1 376 4 -1 +2.0 +0.5 1 1.50229807e-23 -3.28593723e-06
